   44  20  4
     1.3000000000000D-07    1.3207176752375D-05    1.3417655212960D-03
     1.3000000000000D-07
    0.91565886686967   0.91565887474030   0.65294855868545
    0.73317782184843   0.73317783694075   0.50876898929747
    0.62981937847821   0.62981937897988   0.42574822386951
    0.51472317726690   0.51472316408081   0.33308330909499
    0.45219358799517   0.45219357686865   0.28439577344872
    0.36028782880463   0.36028783846520   0.21648319684480
    0.22897422484967   0.22897421487909   0.12514637757107
    0.14777228283886   0.14777228604095    6.7145720752077D-02
     7.7666079716578D-02    7.7666081152857D-02    2.3231417906428D-02
     4.9068045408031D-02    4.9067998175308D-02    1.0894236296237D-02
     3.5023103305983D-02    3.5022853530670D-02    6.3349947501685D-03
     4.2753853204413D-02    4.2753746988506D-02    8.7164536616720D-03
     2.7694875404112D-02    2.7694705370121D-02    4.3857840152069D-03
     2.2281664081201D-02    2.2281292095143D-02    3.1315975181269D-03
     1.7010570155835D-02    1.7009541999072D-02    2.0678886542865D-03
     1.2437579785806D-02    1.2434333839795D-02    1.2820073716661D-03
     8.4331167113303D-03    8.4311825074039D-03    7.1112932531202D-04
     4.0804045205088D-03    4.0621096818168D-03    2.3803351092719D-04
     2.2063413037961D-03    2.1292583876941D-03    9.0901253993425D-05
     1.3205063519204D-03    1.2541832651879D-03    4.1660169704543D-05
     9.9373641376196D-04    6.6645746596894D-04    1.6459363858380D-05
     6.2276703149389D-04    4.6556777280007D-04    9.8681867732778D-06
     1.1169403611245D-03    1.8604502694640D-04    2.8358436888221D-06
     1.2053238960182D-02    2.1247169921067D-04    2.1975189517957D-06
     9.0718589949255D-04    7.7465580842880D-05    5.7109742434522D-07
     1.8795096535560D-03    4.1561741584179D-05    2.3833768117917D-07
     2.8313069684749D-03    2.7415944970352D-05    1.3044797155099D-07
     2.4029588429943D-03    2.0851008291567D-05    8.7890703275592D-08
     2.0212377610649D-03    1.5829957238930D-05    5.9700155944703D-08
     2.6406715382034D-03    1.0922594985678D-05    3.6919277420151D-08
     1.2460705039426D-02    9.0013330454482D-06    2.6645012705297D-08
     1.3148104500058D-02    8.8116386433602D-06    2.3297685131149D-08
     5.5421358575057D-03    6.9041527665016D-06    1.6330181797935D-08
     4.6865398617259D-03    4.7693451089258D-06    9.6537661292154D-09
     4.3015937386502D-03    2.9372072169106D-06    4.7665275412744D-09
     4.2970752990890D-03    1.7232148803172D-06    2.5943946470236D-09
     5.3095207756389D-03    8.3328302547921D-07    9.8668575019981D-10
     1.4733529382503D-02    4.3457558973656D-07    3.0317299502884D-10
