     0.017610603       171.63000
     0.036709377       126.16003
     0.069392440       96.251652
      0.11896255       76.479565
      0.18496886       63.365388
      0.26388594       54.699897
      0.34807057       48.733100
      0.42448212       44.747971
      0.49938133       42.293739
      0.58749627       36.186459
      0.69115893       27.946089
      0.81311270       21.651324
      0.95658524       13.585962
       1.1253732       7.6802107
       1.3239433       4.0469264
       1.5575507       2.7370712
       1.8323778       2.0535993
       2.1556981       1.6561689
       2.5360677       1.1841936
       2.9835523      0.94052203
       3.5099948      0.80811468
       4.1293271      0.67747326
       4.8579407      0.57024799
       5.7151170      0.48188688
       6.7235389      0.39885921
       7.9098952      0.32877808
       9.3055817      0.27222491
       10.947537      0.23449533
       12.879214      0.23250563
       15.151729      0.23058844
       17.825224      0.22875235
       20.970453      0.22701089
       24.670658      0.22538901
       29.023757      0.22391516
       34.144947      0.22261096
       40.169763      0.22147126
       47.257651      0.22044285
       55.596183      0.21945957
       65.406032      0.21850592
       76.946821      0.21757122
       90.523957      0.21664819
       106.49675      0.21573262
       125.28792      0.21482338
       147.39475      0.21391992
       173.40229      0.21302071
       203.99882      0.21212361
       239.99406      0.21122705
       282.34056      0.21032723
       332.15905      0.20942265
       390.76797      0.20851116
       459.71825      0.20758968
       540.83469      0.20665648
       636.26396      0.20570917
       748.53159      0.20474743
       880.60869      0.20376873
       1021.7821      0.20277096
       1155.0863      0.20191453
       1271.6045      0.20121195
       1363.2371      0.20067128
       1423.2216      0.20029874
       1455.4843      0.20009988
